sequence_index,word,layer
167,comfort,高频
168,reinforce,高频
169,fortune,高频
170,unfortunately,高频
171,frequent,高频
172,confront,高频
173,fundamental,高频
174,genetic,高频
175,general,高频
176,generation,高频
177,generate,高频
178,govern,高频
179,government,高频
180,gradual,高频
181,progress,高频
182,aggressive,高频
183,degree,高频
184,congress,高频
185,inherent,高频
186,exhibit,高频
187,exhibition,高频
188,habitat,高频
189,historical,高频
190,historian,高频
191,identify,高频
192,identity,高频
193,imagine,高频
194,imagination,高频
195,imitate,高频
196,intelligent,高频
197,intelligence,高频
198,intellectual,高频
199,internal,高频
200,interior,高频
201,initial,高频
202,transition,高频
203,objective,高频
204,objection,高频
205,reject,高频
206,journalist,高频
207,jury,高频
208,justice,高频
209,adjust,高频
210,justify,高频
211,judgement,高频
212,prejudice,高频
213,laboratory,高频
214,collapse,高频
215,select,高频
216,selection,高频
217,neglect,高频
218,collection,高频
219,collective,高频
220,lecture,高频
221,liability,高频
222,religion,高频
223,religious,高频
224,legitimate,高频
225,illegal,高频
226,legislation,高频
227,liberal,高频
228,license,高频
229,limit,高频
230,limited,高频
231,eliminate,高频
232,literature,高频
233,literary,高频
234,locate,高频
235,logical,高频
236,reluctant,高频
237,pollution,高频
238,analyse,高频
239,analysis,高频
240,permanent,高频
241,maintain,高频
242,management,高频
243,majority,高频
244,demand,高频
245,remark,高频
246,remarkable,高频
247,master,高频
248,mechanism,高频
249,mechanical,高频
250,machinery,高频
251,medical,高频
252,immediate,高频
253,medicine,高频
254,comment,高频
255,mental,高频
256,commercial,高频
257,emerge,高频
258,immigrant,高频
259,military,高频
260,diminish,高频
261,administration,高频
262,admire,高频
263,admit,高频
264,commit,高频
265,compromise,高频
266,dismiss,高频
267,permission,高频
268,committee,高频
269,mission,高频
270,commission,高频
271,mode,高频
272,commodity,高频
273,monitor,高频
274,demonstrate,高频
275,promote,高频
276,motor,高频
277,remove,高频
278,amount,高频
279,prompt,高频
280,immune,高频
281,mysterious,高频
282,natural,高频
283,renaissance,高频
284,connection,高频
285,nervous,高频
286,normal,高频
287,enormous,高频
288,notice,高频
289,notion,高频
290,ignore,高频
291,announce,高频
292,innovation,高频
293,nuclear,高频
294,obesity,高频
295,obscure,高频
296,operate,高频
297,operation,高频
298,option,高频
299,adopt,高频
300,optimistic,高频
301,ordinary,高频
302,organize,高频
303,organization,高频
304,origin,高频
305,originate,高频
306,negotiate,高频
307,impact,高频
308,expand,高频
309,parliament,高频
310,particular,高频
311,partly,高频
312,counterpart,高频
313,departure,高频
314,proportion,高频
315,participate,高频
316,support,高频
317,import,高频
318,transport,高频
319,patient,高频
320,sympathy,高频
321,passion,高频
322,appeal,高频
323,impulse,高频
324,apparent,高频
325,separate,高频
326,comparison,高频
327,disappear,高频
328,appearance,高频
329,peculiar,高频
330,expense,高频
331,indispensable,高频
332,independent,高频
333,independence,高频
334,personality,高频
335,competition,高频
336,emphasize,高频
337,phenomenon,高频
338,photograph,高频
339,physics,高频
340,physical,高频
341,replace,高频
342,complaint,高频
343,planet,高频
344,explanation,高频
345,plant,高频
346,plastic,高频
347,multiple,高频
348,pleasant,高频
349,explosion,高频
350,employment,高频
351,apply,高频
352,imply,高频
353,complex,高频
354,application,高频
355,implication,高频
356,complicated,高频
357,political,高频
358,politics,高频
359,politician,高频
360,monopoly,高频
361,suppose,高频
362,impose,高频
363,expose,高频
364,exposure,高频
365,propose,高频
366,proposal,高频
367,position,高频
368,composition,高频
369,positive,高频
370,opposite,高频
371,possibility,高频
372,possess,高频
373,potential,高频
374,practical,高频
375,appreciate,高频
376,praise,高频
377,comprehension,高频
378,comprehensive,高频
379,expression,高频
380,suppress,高频
381,principle,高频
382,primary,高频
383,prior,高频
384,priority,高频
385,private,高频
386,privacy,高频
387,privilege,高频
388,deprive,高频
389,approach,高频
390,appropriate,高频
391,proper,高频
392,property,高频
393,approval,高频
394,psychology,高频
395,symptom,高频
396,publication,高频
397,republican,高频
398,pure,高频
399,quantity,高频
400,quarter,高频
401,require,高频
402,requirement,高频
403,request,高频
404,acquire,高频
405,enquiry,高频
406,acquisition,高频
407,quit,高频
408,radical,高频
409,range,高频
410,arrange,高频
411,reasonable,高频
412,rigid,高频
413,directly,高频
414,region,高频
415,regular,高频
416,regulate,高频
417,regulation,高频
418,render,高频
419,ritual,高频
420,derive,高频
421,satisfy,高频
422,satisfaction,高频
423,scale,高频
424,sceptical,高频
425,scholar,高频
426,conscious,高频
427,telescope,高频
428,description,高频
429,segment,高频
430,section,高频
431,assemble,高频
432,senior,高频
433,present,高频
434,presence,高频
435,represent,高频
436,representative,高频
437,sensitive,高频
438,pursue,高频
439,consequence,高频
440,consequently,高频
441,pursuit,高频
442,suitable,高频
443,series,高频
444,conservation,高频
445,conservative,高频
446,preserve,高频
447,reserve,高频
448,observe,高频
449,observation,高频
450,deserve,高频
451,severe,高频
452,considerable,高频
453,design,高频
454,significant,高频
455,significance,高频
456,assign,高频
457,associate,高频
458,association,高频
459,resolve,高频
460,solution,高频
461,philosophy,高频
462,philosopher,高频
463,absorb,高频
464,speculate,高频
465,prospect,高频
466,suspect,高频
467,perspective,高频
468,specific,高频
469,specialist,高频
470,desperate,高频
471,prosperity,高频
472,atmosphere,高频
473,response,高频
474,responsible,高频
475,sponsor,高频
476,spouse,高频
477,substance,高频
478,instance,高频
479,distance,高频
480,stable,高频
481,establish,高频
482,status,高频
483,statement,高频
484,station,高频
485,assist,高频
486,assistant,高频
487,consist,高频
488,circumstance,高频
489,contrast,高频
490,estate,高频
491,distinction,高频
492,distinguish,高频
493,stimulate,高频
494,constitute,高频
495,constitution,高频
496,institute,高频
497,restore,高频
498,storage,高频
499,restrict,高频
500,strain,高频
501,persuade,高频
502,consume,高频
503,consumption,高频
504,ensure,高频
505,insurance,高频
506,assure,高频
507,attach,高频
508,attack,高频
509,contact,高频
510,contain,高频
511,sustain,高频
512,content,高频
513,obtain,高频
514,retain,高频
515,technology,高频
516,technical,高频
517,technique,高频
518,detect,高频
519,architecture,高频
520,temperature,高频
521,temporary,高频
522,attempt,高频
523,tendency,高频
524,extend,高频
525,extent,高频
526,extension,高频
527,tension,高频
528,intense,高频
529,determine,高频
530,contest,高频
531,theatre,高频
532,theory,高频
533,entitle,高频
534,tolerate,高频
535,tolerant,高频
536,tolerance,高频
537,track,高频
538,trace,高频
539,trait,高频
540,attractive,高频
541,contribute,高频
542,contribution,高频
543,attribute,高频
544,triumph,高频
545,typical,高频
546,union,高频
547,unique,高频
548,urban,高频
549,urgent,高频
550,urge,高频
551,unusual,高频
552,valuable,高频
553,valid,高频
554,equivalent,高频
555,available,高频
556,vanish,高频
557,variety,高频
558,various,高频
559,variable,高频
560,reveal,高频
561,revenue,高频
562,convention,高频
563,convenient,高频
564,verbal,高频
565,universe,高频
566,universal,高频
567,version,高频
568,controversy,高频
569,reverse,高频
570,invest,高频
571,investment,高频
572,obvious,高频
573,victim,高频
574,evidence,高频
575,provision,高频
576,visual,高频
577,convince,高频
578,violate,高频
579,virtue,高频
580,survival,高频
581,vital,高频
582,advocate,高频
583,voluntary,高频
584,volunteer,高频
585,involve,高频
586,volume,高频
587,revolution,高频
588,vulnerable,高频
589,aware,高频
590,aircraft,高频
591,airline,高频
592,alongside,高频
593,background,高频
594,blueprint,高频
595,chairman,高频
596,database,高频
597,elsewhere,高频
598,feedback,高频
599,furthermore,高频
600,highlight,高频
601,household,高频
602,meanwhile,高频
603,moreover,高频
604,newspaper,高频
605,outcome,高频
606,outline,高频
607,output,高频
608,overall,高频
609,overlook,高频
610,ownership,高频
611,so-called,高频
612,software,高频
613,somewhat,高频
614,throughout,高频
615,underestimate,高频
616,undergraduate,高频
617,underline,高频
618,upset,高频
619,widespread,高频
620,withdraw,高频
621,worthwhile,高频
622,ability,高频
623,abroad,高频
624,absence,高频
625,abuse,高频
626,academic,高频
627,accomplish,高频
628,acknowledge,高频
629,activity,高频
630,addition,高频
631,address,高频
632,advantage,高频
633,affair,高频
634,afford,高频
635,afraid,高频
636,agency,高频
637,ahead,高频
638,alike,高频
639,ambition,高频
640,ancestor,高频
641,anticipate,高频
642,appoint,高频
643,argument,高频
644,arise,高频
645,arouse,高频
646,aside,高频
647,aspect,高频
648,assess,高频
649,asset,高频
650,assume,高频
651,assumption,高频
652,attend,高频
653,authority,高频
654,award,高频
655,barely,高频
656,bear,高频
657,behalf,高频
658,behave,高频
659,beneath,高频
660,blame,高频
661,blank,高频
662,block,高频
663,boom,高频
664,boost,高频
665,bound,高频
666,bracket,高频
667,branch,高频
668,brand,高频
669,bright,高频
670,broad,高频
671,budget,高频
672,burden,高频
673,calm,高频
674,campaign,高频
675,cancel,高频
676,careful,高频
677,category,高频
678,ceremony,高频
679,chain,高频
680,challenge,高频
681,chance,高频
682,channel,高频
683,character,高频
684,characterize,高频
685,characteristic,高频
686,charge,高频
687,check,高频
688,cigarette,高频
689,circuit,高频
690,claim,高频
691,colleague,高频
692,column,高频
693,command,高频
694,competitive,高频
695,constant,高频
696,context,高频
697,continent,高频
698,convey,高频
699,cope,高频
700,corporate,高频
701,court,高频
702,craft,高频
703,credit,高频
704,crop,高频
705,curb,高频
706,danger,高频
707,dangerous,高频
708,dark,高频
709,deal,高频
710,decision,高频
711,delay,高频
712,delight,高频
713,deliver,高频
714,delivery,高频
715,dependent,高频
716,desirable,高频
717,despite,高频
718,destroy,高频
719,digital,高频
720,dioxide,高频
721,disorder,高频
722,display,高频
723,dispute,高频
724,distant,高频
725,district,高频
726,divorce,高频
727,double,高频
728,doubt,高频
729,dozen,高频
730,draft,高频
731,dramatic,高频
732,earn,高频
733,ease,高频
734,elite,高频
735,embrace,高频
736,embryo,高频
737,emphasis,高频
738,empty,高频
739,endeavour,高频
740,engage,高频
741,engineer,高频
742,enhance,高频
743,enterprise,高频
744,entertainment,高频
745,entire,高频
746,entrepreneur,高频
747,equipment,高频
748,evolve,高频
749,evolution,高频
750,examine,高频
751,examination,高频
752,excessive,高频
753,exchange,高频
754,executive,高频
755,exist,高频
756,existence,高频
757,expect,高频
758,expectation,高频
759,external,高频
760,fade,高频
761,fairly,高频
762,feature,高频
763,federal,高频
764,finance,高频
765,finding,高频
766,former,高频
767,forth,高频
768,foundation,高频
769,fulfill,高频
770,generous,高频
771,genius,高频
772,grant,高频
773,grasp,高频
774,guarantee,高频
775,guard,高频
776,guide,高频
777,guilt,高频
778,guilty,高频
779,handle,高频
780,highly,高频
781,horizon,高频
782,hormone,高频
783,humanity,高频
784,ideal,高频
785,illustrate,高频
786,impression,高频
787,incentive,高频
788,incident,高频
789,increasingly,高频
790,indeed,高频
791,industrial,高频
792,infant,高频
793,infrastructure,高频
794,initiative,高频
795,injury,高频
796,insist,高频
797,inspire,高频
798,instinct,高频
799,institution,高频
800,intend,高频
801,intention,高频
802,interpret,高频
803,interview,高频
804,kingdom,高频
805,landscape,高频
806,leadership,高频
807,leading,高频
808,lean,高频
809,likewise,高频
810,link,高频
811,lobby,高频
812,manage,高频
813,manager,高频
814,mass,高频
815,massive,高频
816,mere,高频
817,merely,高频
818,minister,高频
819,mostly,高频
820,motivate,高频
821,museum,高频
822,negative,高频
823,nevertheless,高频
824,occupation,高频
825,odd,高频
826,offer,高频
827,officer,高频
828,official,高频
829,opening,高频
830,opponent,高频
831,opportunity,高频
832,oppose,高频
833,original,高频
834,painting,高频
835,panel,高频
836,patent,高频
837,patience,高频
838,payment,高频
839,peak,高频
840,peer,高频
841,perform,高频
842,performance,高频
843,permit,高频
844,physician,高频
845,plate,高频
846,poetry,高频
847,poll,高频
848,pose,高频
849,pour,高频
850,poverty,高频
851,premium,高频
852,previous,高频
853,pride,高频
854,print,高频
855,produce,高频
856,production,高频
857,profession,高频
858,profound,高频
859,purchase,高频
860,quota,高频
861,quote,高频
862,random,高频
863,rare,高频
864,recall,高频
865,recognize,高频
866,recognition,高频
867,recommend,高频
868,recruit,高频
869,refer,高频
870,reflect,高频
871,reform,高频
872,refuse,高频
873,regard,高频
874,regardless,高频
875,register,高频
876,regret,高频
877,relate,高频
878,relative,高频
879,release,高频
880,relevant,高频
881,reliable,高频
882,relief,高频
883,relieve,高频
884,reputation,高频
885,resource,高频
886,respond,高频
887,retail,高频
888,review,高频
889,reward,高频
890,rival,高频
891,routine,高频
892,royal,高频
893,rural,高频
894,sample,高频
895,satellite,高频
896,schedule,高频
897,scheme,高频
898,score,高频
899,secret,高频
900,secretary,高频
901,sector,高频
902,secure,高频
903,seldom,高频
904,sequence,高频
905,setting,高频
906,settle,高频
907,settlement,高频
908,sharp,高频
909,shelter,高频
910,shortage,高频
911,sign,高频
912,signal,高频
913,simple,高频
914,simply,高频
915,situation,高频
916,skilled,高频
917,sort,高频
918,species,高频
919,spirit,高频
920,spot,高频
921,staff,高频
922,stage,高频
923,statistics,高频
924,steady,高频
925,stem,高频
926,stick,高频
927,stock,高频
928,strategy,高频
929,strength,高频
930,strengthen,高频
931,strike,高频
932,stuff,高频
933,substantial,高频
934,subtle,高频
935,suit,高频
936,sum,高频
937,supply,高频
938,supreme,高频
939,surround,高频
940,survive,高频
941,switch,高频
942,systematic,高频
943,thin,高频
944,threat,高频
945,threaten,高频
946,thus,高频
947,tobacco,高频
948,tough,高频
949,translate,高频
950,translation,高频
951,trend,高频
952,trial,高频
953,tunnel,高频
954,understanding,高频
955,unemployment,高频
956,unexpected,高频
957,unlike,高频
958,unlikely,高频
959,vary,高频
960,vast,高频
961,vehicle,高频
962,virtual,高频
963,vision,高频
964,vitamin,高频
965,weigh,高频
966,weight,高频
967,wipe,高频
968,wisdom,高频
969,witness,高频
970,wonder,高频
971,worthy,高频
972,yield,高频
973,abolish,中频
974,agenda,中频
975,exact,中频
976,activate,中频
977,alcohol,中频
978,alien,中频
979,ambitious,中频
980,monarch,中频
981,alarm,中频
982,astronomy,中频
983,disaster,中频
984,auction,中频
985,combat,中频
986,combination,中频
987,biology,中频
988,embody,中频
989,symbol,中频
990,bonus,中频
991,neighborhood,中频
992,border,中频
993,calculate,中频
994,camp,中频
995,canal,中频
996,captive,中频
997,conception,中频
998,conceive,中频
999,recipient,中频
1000,occasion,中频
1001,cast,中频
1002,caution,中频
1003,conceal,中频
1004,proceed,中频
1005,exceed,中频
1006,excess,中频
1007,predecessor,中频
1008,succession,中频
1009,precede,中频
1010,cease,中频
1011,excel,中频
1012,census,中频
1013,charter,中频
1014,chemist,中频
1015,chemistry,中频
1016,chronic,中频
1017,exciting,中频
1018,clarity,中频
1019,classification,中频
1020,disclose,中频
1021,exclusive,中频
1022,coast,中频
1023,agriculture,中频
1024,colony,中频
1025,cosmic,中频
1026,encounter,中频
1027,discourage,中频
1028,accordingly,中频
1029,recover,中频
1030,incredible,中频
1031,concrete,中频
1032,occupy,中频
1033,accurate,中频
1034,curious,中频
1035,currency,中频
1036,curriculum,中频
1037,dense,中频
1038,density,中频
1039,dedicate,中频
1040,contradict,中频
1041,dictate,中频
1042,verdict,中频
1043,mandate,中频
1044,edition,中频
1045,division,中频
1046,document,中频
1047,doctrine,中频
1048,paradox,中频
1049,drastic,中频
1050,deduce,中频
1051,reproduce,中频
1052,conductor,中频
1053,durable,中频
1054,duration,中频
1055,electric,中频
1056,adequate,中频
1057,energetic,中频
1058,possession,中频
1059,fame,中频
1060,welfare,中频
1061,fare,中频
1062,fatal,中频
1063,default,中频
1064,favorable,中频
1065,beneficial,中频
1066,magnificent,中频
1067,sacrifice,中频
1068,satisfactory,中频
1069,artefact,中频
1070,defeat,中频
1071,facilitate,中频
1072,federation,中频
1073,defend,中频
1074,manifest,中频
1075,interfere,中频
1076,interference,中频
1077,inference,中频
1078,indifferent,中频
1079,differentiate,中频
1080,preferable,中频
1081,fibre,中频
1082,confident,中频
1083,fierce,中频
1084,file,中频
1085,definite,中频
1086,confirm,中频
1087,reflection,中频
1088,flourish,中频
1089,fluid,中频
1090,formulate,中频
1091,fossil,中频
1092,fragment,中频
1093,fraction,中频
1094,confuse,中频
1095,confusion,中频
1096,diffuse,中频
1097,garment,中频
1098,geology,中频
1099,exaggerate,中频
1100,gigantic,中频
1101,cognitive,中频
1102,ignorant,中频
1103,grain,中频
1104,grateful,中频
1105,aggravate,中频
1106,gravity,中频
1107,ingredient,中频
1108,progressive,中频
1109,gross,中频
1110,inhabit,中频
1111,inhabitant,中频
1112,exhaust,中频
1113,coherent,中频
1114,hesitate,中频
1115,hostile,中频
1116,hospitality,中频
1117,humble,中频
1118,hygiene,中频
1119,ideology,中频
1120,imaginative,中频
1121,inferior,中频
1122,insect,中频
1123,integrate,中频
1124,integrity,中频
1125,jet,中频
1126,inject,中频
1127,joint,中频
1128,juvenile,中频
1129,elaborate,中频
1130,enlarge,中频
1131,legacy,中频
1132,elegant,中频
1133,dilemma,中频
1134,lever,中频
1135,liable,中频
1136,reliance,中频
1137,alliance,中频
1138,liberate,中频
1139,delicate,中频
1140,oblige,中频
1141,limitation,中频
1142,literally,中频
1143,literacy,中频
1144,location,中频
1145,apologize,中频
1146,catalogue,中频
1147,prolong,中频
1148,illusion,中频
1149,luxury,中频
1150,margin,中频
1151,mechanic,中频
1152,dimension,中频
1153,commerce,中频
1154,merit,中频
1155,prominent,中频
1156,minimum,中频
1157,minimize,中频
1158,misery,中频
1159,miserable,中频
1160,promising,中频
1161,transmit,中频
1162,submit,中频
1163,admission,中频
1164,mixture,中频
1165,moderate,中频
1166,modify,中频
1167,motive,中频
1168,remote,中频
1169,mount,中频
1170,multitude,中频
1171,commute,中频
1172,mutual,中频
1173,mystery,中频
1174,navy,中频
1175,innocent,中频
1176,numerical,中频
1177,nurture,中频
1178,nutrition,中频
1179,petrol,中频
1180,adolescent,中频
1181,cooperate,中频
1182,operator,中频
1183,opt,中频
1184,orbit,中频
1185,orchestra,中频
1186,organic,中频
1187,accompany,中频
1188,companion,中频
1189,expansion,中频
1190,comparable,中频
1191,comparative,中频
1192,preparation,中频
1193,apartment,中频
1194,depart,中频
1195,partial,中频
1196,portion,中频
1197,passive,中频
1198,sympathetic,中频
1199,compel,中频
1200,propel,中频
1201,penalty,中频
1202,compensate,中频
1203,pension,中频
1204,suspend,中频
1205,personnel,中频
1206,pessimistic,中频
1207,phase,中频
1208,depict,中频
1209,paint,中频
1210,pile,中频
1211,simplify,中频
1212,implicit,中频
1213,implement,中频
1214,surplus,中频
1215,appointment,中频
1216,metropolitan,中频
1217,component,中频
1218,compose,中频
1219,compound,中频
1220,predator,中频
1221,comprise,中频
1222,comprehend,中频
1223,premier,中频
1224,principal,中频
1225,prime,中频
1226,primitive,中频
1227,approve,中频
1228,proof,中频
1229,acquaintance,中频
1230,qualify,中频
1231,quest,中频
1232,rage,中频
1233,ray,中频
1234,realistic,中频
1235,thrive,中频
1236,enrol,中频
1237,romantic,中频
1238,corrupt,中频
1239,interrupt,中频
1240,sanction,中频
1241,conscience,中频
1242,scope,中频
1243,scrutiny,中频
1244,resemble,中频
1245,senate,中频
1246,senator,中频
1247,nonsense,中频
1248,consensus,中频
1249,sensible,中频
1250,sentiment,中频
1251,consent,中频
1252,presently,中频
1253,subsequent,中频
1254,prosecute,中频
1255,assert,中频
1256,servant,中频
1257,resident,中频
1258,session,中频
1259,insight,中频
1260,assignment,中频
1261,stability,中频
1262,instant,中频
1263,obstacle,中频
1264,resist,中频
1265,resistance,中频
1266,resistant,中频
1267,assistance,中频
1268,persist,中频
1269,substitute,中频
1270,sociable,中频
1271,sole,中频
1272,solid,中频
1273,consolidate,中频
1274,dissolve,中频
1275,absolute,中频
1276,resort,中频
1277,spacious,中频
1278,span,中频
1279,hemisphere,中频
1280,correspond,中频
1281,spy,中频
1282,suspicion,中频
1283,suspicious,中频
1284,inspect,中频
1285,specify,中频
1286,stern,中频
1287,constituent,中频
1288,statute,中频
1289,restraint,中频
1290,constrain,中频
1291,string,中频
1292,instrument,中频
1293,construct,中频
1294,instruct,中频
1295,instruction,中频
1296,summarize,中频
1297,superior,中频
1298,superiority,中频
1299,maintenance,中频
1300,continuous,中频
1301,attain,中频
1302,architect,中频
1303,temper,中频
1304,contemporary,中频
1305,tempt,中频
1306,contempt,中频
1307,contend,中频
1308,intensity,中频
1309,extensive,中频
1310,territory,中频
1311,protest,中频
1312,textile,中频
1313,thesis,中频
1314,tone,中频
1315,distort,中频
1316,trail,中频
1317,portray,中频
1318,retreat,中频
1319,extract,中频
1320,distract,中频
1321,abstract,中频
1322,tragedy,中频
1323,intuition,中频
1324,tuition,中频
1325,disturb,中频
1326,ultimate,中频
1327,abundant,中频
1328,suburb,中频
1329,utilize,中频
1330,vaccine,中频
1331,evade,中频
1332,vague,中频
1333,vain,中频
1334,evaluate,中频
1335,variation,中频
1336,intervene,中频
1337,convenience,中频
1338,venture,中频
1339,verify,中频
1340,controversial,中频
1341,convert,中频
1342,advertise,中频
1343,investigate,中频
1344,conviction,中频
1345,violence,中频
1346,visa,中频
1347,supervise,中频
1348,revise,中频
1349,visible,中频
1350,invisible,中频
1351,advisable,中频
1352,revive,中频
1353,vivid,中频
1354,provoke,中频
1355,revolve,中频
1356,devote,中频
1357,censorship,中频
1358,countryside,中频
1359,deadline,中频
1360,framework,中频
1361,greenhouse,中频
1362,guideline,中频
1363,hardship,中频
1364,headline,中频
1365,housework,中频
1366,lawsuit,中频
1367,lifetime,中频
1368,mankind,中频
1369,membership,中频
1370,nowhere,中频
1371,outlet,中频
1372,outlook,中频
1373,overcome,中频
1374,overseas,中频
1375,overturn,中频
1376,platform,中频
1377,setback,中频
1378,somehow,中频
1379,somewhere,中频
1380,straightforward,中频
1381,undergo,中频
1382,underground,中频
1383,underlie,中频
1384,undertake,中频
1385,upgrade,中频
1386,academy,中频
1387,acceptance,中频
1388,acre,中频
1389,afterwards,中频
1390,alert,中频
1391,alive,中频
1392,allowance,中频
1393,alphabet,中频
1394,altogether,中频
1395,apparatus,中频
1396,array,中频
1397,automatic,中频
1398,automobile,中频
1399,await,中频
1400,awkward,中频
1401,bachelor,中频
1402,backward,中频
1403,bargain,中频
1404,battery,中频
1405,beam,中频
1406,betray,中频
1407,bid,中频
1408,blow,中频
1409,bold,中频
1410,bother,中频
1411,breath,中频
1412,breathe,中频
1413,brush,中频
1414,bulk,中频
1415,cater,中频
1416,chamber,中频
1417,chancellor,中频
1418,cheat,中频
1419,cheque,中频
1420,Christmas,中频
1421,clone,中频
1422,clue,中频
1423,coach,中频
1424,comply,中频
1425,correlate,中频
1426,courtesy,中频
1427,coward,中频
1428,crack,中频
1429,crash,中频
1430,crowd,中频
1431,cruel,中频
1432,cucumber,中频
1433,cue,中频
1434,cunning,中频
1435,dare,中频
1436,dean,中频
1437,decay,中频
1438,decorate,中频
1439,deem,中频
1440,deploy,中频
1441,desert,中频
1442,diligent,中频
1443,discard,中频
1444,dislike,中频
1445,doom,中频
1446,drama,中频
1447,drought,中频
1448,eager,中频
1449,edge,中频
1450,elementary,中频
1451,engagement,中频
1452,engineering,中频
1453,entail,中频
1454,enthusiasm,中频
1455,enthusiastic,中频
1456,equip,中频
1457,excitement,中频
1458,exert,中频
1459,fake,中频
1460,fantastic,中频
1461,fellow,中频
1462,fetch,中频
1463,flash,中频
1464,flaw,中频
1465,float,中频
1466,foresee,中频
1467,foster,中频
1468,frame,中频
1469,frank,中频
1470,furnace,中频
1471,furnish,中频
1472,gaze,中频
1473,genuine,中频
1474,glance,中频
1475,glimpse,中频
1476,grin,中频
1477,guidance,中频
1478,hail,中频
1479,harbour,中频
1480,harsh,中频
1481,harvest,中频
1482,heaven,中频
1483,helmet,中频
1484,heroin,中频
1485,hinder,中频
1486,hint,中频
1487,hitherto,中频
1488,holder,中频
1489,illness,中频
1490,incidentally,中频
1491,index,中频
1492,initiate,中频
1493,inner,中频
1494,keen,中频
1495,ladder,中频
1496,lane,中频
1497,laser,中频
1498,layer,中频
1499,lest,中频
1500,limb,中频
1501,loan,中频
1502,loom,中频
1503,loyal,中频
1504,luggage,中频
1505,lure,中频
1506,mathematics,中频
1507,mathematical,中频
1508,mayor,中频
1509,medal,中频
1510,medium,中频
1511,melt,中频
1512,metal,中频
1513,mild,中频
1514,mineral,中频
1515,minor,中频
1516,mislead,中频
1517,mock,中频
1518,molecule,中频
1519,momentum,中频
1520,monetary,中频
1521,myth,中频
1522,nasty,中频
1523,neighbour,中频
1524,noble,中频
1525,nonetheless,中频
1526,offspring,中频
1527,outer,中频
1528,oxygen,中频
1529,pause,中频
1530,pearl,中频
1531,pilgrim,中频
1532,pioneer,中频
1533,pipe,中频
1534,plain,中频
1535,pledge,中频
1536,poisonous,中频
1537,proud,中频
1538,provided,中频
1539,prudent,中频
1540,puzzle,中频
1541,raw,中频
1542,readily,中频
1543,reap,中频
1544,rear,中频
1545,reckon,中频
1546,regarding,中频
1547,rescue,中频
1548,rob,中频
1549,rocket,中频
1550,rough,中频
1551,rubber,中频
1552,saving,中频
1553,scarcely,中频
1554,sculpture,中频
1555,shrink,中频
1556,shuttle,中频
1557,sketch,中频
